User_ID,Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
U1067,51,South Korea,Tidal,Jazz,538,363,Dua Lipa,Premium,Morning,20.13,16.15
U1068,48,UK,YouTube,Jazz,394,434,Bad Bunny,Premium,Morning,63.15,8.39
U1069,57,Japan,YouTube,Jazz,228,94,The Weeknd,Free,Afternoon,80.01,55.59
U1070,57,Australia,Tidal,EDM,570,71,BTS,Premium,Afternoon,78.83,59.12
U1071,40,India,Spotify,Reggae,342,212,Drake,Free,Afternoon,78.62,38.47
U1072,34,UK,YouTube,Country,530,310,Ed Sheeran,Free,Afternoon,33.21,18.58
U1073,51,France,Tidal,Jazz,251,236,Post Malone,Premium,Afternoon,70.99,67.63
U1074,27,South Korea,Spotify,Country,331,476,Post Malone,Premium,Afternoon,51.64,11.71
U1075,27,Brazil,Amazon Music,R&B,149,122,Drake,Free,Morning,50.76,56.23
U1076,18,USA,Tidal,Classical,435,165,BTS,Free,Night,24.8,62.1
U1077,33,Japan,Deezer,EDM,419,440,Taylor Swift,Premium,Afternoon,18.06,74.21
U1078,14,Australia,YouTube,Pop,364,171,Ed Sheeran,Premium,Night,11.74,46.14
U1079,48,South Korea,Tidal,Jazz,23,259,Post Malone,Free,Night,67.97,46.68
U1080,47,UK,Apple Music,Jazz,365,259,Bad Bunny,Free,Morning,15.61,66.64
U1081,22,Canada,Spotify,Country,13,64,Ed Sheeran,Premium,Morning,27.3,23.04
U1082,60,Germany,Tidal,Metal,574,419,Bad Bunny,Free,Morning,33.0,41.73
U1083,37,Japan,Apple Music,Hip-Hop,474,272,Billie Eilish,Premium,Afternoon,16.37,53.46
U1084,19,South Korea,Tidal,Rock,252,129,Dua Lipa,Premium,Afternoon,18.05,21.08
U1085,40,Australia,Tidal,R&B,123,222,Post Malone,Premium,Afternoon,89.08,31.46
U1086,57,Brazil,YouTube,R&B,49,207,The Weeknd,Free,Night,65.27,71.22
U1087,40,India,Tidal,Country,88,153,Taylor Swift,Premium,Afternoon,53.63,60.28
U1088,53,Australia,Deezer,Pop,217,67,Drake,Free,Night,88.6,30.39
U1089,43,South Korea,Spotify,EDM,222,70,BTS,Premium,Night,88.91,64.34
U1090,13,Australia,Amazon Music,Country,31,354,Bad Bunny,Free,Morning,25.42,72.64
U1091,42,UK,Amazon Music,Metal,426,339,Adele,Free,Morning,88.4,41.19
U1092,46,France,Deezer,Rock,265,170,Post Malone,Free,Night,56.93,21.18
U1093,20,Brazil,Apple Music,Classical,578,150,Bad Bunny,Premium,Afternoon,26.23,61.41
U1094,16,Germany,Amazon Music,Hip-Hop,451,451,Billie Eilish,Premium,Morning,81.19,38.14
U1095,43,Canada,Amazon Music,Rock,454,328,Post Malone,Premium,Afternoon,71.16,58.49
U1096,59,Canada,Spotify,EDM,283,87,Post Malone,Free,Night,61.27,59.11
U1097,27,South Korea,Apple Music,Pop,136,101,Adele,Free,Morning,64.6,54.91
U1098,23,Australia,Spotify,Pop,311,419,Taylor Swift,Free,Night,19.66,20.12
U1099,46,South Korea,Spotify,Hip-Hop,11,102,Billie Eilish,Free,Night,43.81,55.65
U1100,17,Brazil,YouTube,Reggae,379,486,Taylor Swift,Free,Night,57.31,34.1
U1101,56,France,Apple Music,Metal,327,282,Dua Lipa,Premium,Night,12.89,65.06
U1102,36,Australia,YouTube,R&B,131,210,Billie Eilish,Premium,Night,65.95,63.34
U1103,59,USA,Tidal,Pop,476,198,Ed Sheeran,Free,Night,58.36,13.84
U1104,20,India,Deezer,Rock,144,274,Billie Eilish,Premium,Morning,45.38,55.09
U1105,24,Brazil,Deezer,EDM,74,427,Taylor Swift,Free,Afternoon,10.42,16.4
U1106,42,UK,Spotify,Reggae,76,84,Ed Sheeran,Free,Night,30.14,11.02
U1107,47,Japan,Spotify,Classical,473,427,Billie Eilish,Free,Night,67.25,7.54
U1108,31,Japan,Amazon Music,Pop,539,87,The Weeknd,Premium,Night,46.95,27.36
U1109,38,Japan,Apple Music,Pop,318,208,The Weeknd,Premium,Afternoon,83.45,22.57
U1110,55,India,Deezer,Classical,536,119,The Weeknd,Premium,Afternoon,11.2,55.69
U1111,49,Canada,Tidal,Pop,199,118,Dua Lipa,Premium,Night,36.99,51.49
U1112,42,Australia,Deezer,Reggae,531,112,Taylor Swift,Premium,Afternoon,63.28,33.23
U1113,22,Australia,Deezer,Hip-Hop,234,88,BTS,Premium,Afternoon,63.51,35.52
U1114,33,Japan,Deezer,Pop,386,378,The Weeknd,Free,Night,86.83,68.75
U1115,21,Japan,Amazon Music,Rock,419,484,The Weeknd,Premium,Morning,69.39,21.67
U1116,41,France,YouTube,Pop,70,411,Ed Sheeran,Premium,Morning,78.6,58.73
U1117,53,India,Apple Music,Rock,547,419,Adele,Premium,Night,36.41,57.24
U1118,39,India,Apple Music,Classical,274,113,Drake,Premium,Afternoon,38.7,47.85
U1119,53,France,YouTube,Hip-Hop,404,205,Dua Lipa,Premium,Afternoon,56.27,68.99
U1120,45,UK,YouTube,R&B,491,411,The Weeknd,Premium,Afternoon,34.74,56.12
U1121,37,Canada,Amazon Music,Pop,345,129,Post Malone,Free,Morning,80.52,76.54
U1122,50,India,Deezer,Country,208,122,Dua Lipa,Free,Morning,71.99,22.97
U1123,56,UK,Spotify,Country,105,454,Drake,Free,Night,27.21,45.77
U1124,13,USA,Apple Music,Classical,44,193,Billie Eilish,Free,Morning,43.17,79.98
U1125,14,France,Spotify,Reggae,44,318,BTS,Premium,Night,80.92,18.57
U1126,22,Canada,Amazon Music,Hip-Hop,146,345,Taylor Swift,Free,Night,28.4,25.12
U1127,48,UK,Spotify,Metal,250,291,The Weeknd,Premium,Night,27.97,60.48
U1128,35,Brazil,Spotify,Jazz,152,282,The Weeknd,Free,Night,30.63,51.29
U1129,53,Brazil,Amazon Music,Metal,350,133,Drake,Free,Night,74.78,19.01
U1130,29,Canada,Deezer,Jazz,558,97,Adele,Premium,Morning,87.7,12.85
U1131,14,Canada,YouTube,Country,57,415,Taylor Swift,Premium,Night,19.91,37.44
U1132,26,USA,Apple Music,Rock,264,226,Adele,Free,Morning,57.57,53.83
U1133,26,Canada,Deezer,Reggae,489,166,The Weeknd,Premium,Night,87.39,45.01
U1134,40,UK,Amazon Music,Metal,415,183,Billie Eilish,Premium,Morning,80.78,63.13
U1135,53,Australia,Deezer,Jazz,176,344,Post Malone,Free,Afternoon,49.03,74.59
U1136,26,South Korea,YouTube,EDM,336,247,The Weeknd,Premium,Afternoon,11.7,39.32
U1137,59,Canada,YouTube,Hip-Hop,345,465,Ed Sheeran,Premium,Morning,23.31,37.29
U1138,27,UK,Amazon Music,Pop,372,85,Billie Eilish,Free,Morning,25.58,34.7
U1139,27,France,Deezer,Jazz,567,287,Dua Lipa,Premium,Afternoon,80.37,74.47
U1140,30,Japan,Tidal,Reggae,149,489,The Weeknd,Free,Morning,13.45,12.53
U1141,19,USA,Tidal,Reggae,146,130,Ed Sheeran,Premium,Afternoon,44.31,19.83
U1142,39,Canada,Deezer,Reggae,50,25,Taylor Swift,Premium,Afternoon,37.17,74.53
U1143,34,Canada,Spotify,Rock,58,321,The Weeknd,Free,Afternoon,51.8,11.6
U1144,54,Germany,Deezer,Hip-Hop,121,118,Bad Bunny,Premium,Morning,22.6,53.96
U1145,26,India,Deezer,Classical,429,3,Drake,Free,Morning,57.3,64.51
U1146,17,Brazil,YouTube,Jazz,535,368,Post Malone,Premium,Morning,74.98,8.53
U1147,18,South Korea,Amazon Music,Rock,415,17,Post Malone,Free,Afternoon,84.06,16.55
U1148,23,Canada,Spotify,Reggae,454,347,Adele,Free,Morning,66.14,9.35
U1149,28,India,Amazon Music,R&B,23,491,Drake,Free,Night,12.85,44.53
U1150,46,France,YouTube,R&B,379,182,BTS,Premium,Morning,65.65,24.84
U1151,48,South Korea,Apple Music,Reggae,513,485,Ed Sheeran,Free,Afternoon,61.93,49.88
U1152,46,USA,Apple Music,Jazz,135,445,BTS,Free,Afternoon,45.81,60.65
U1153,50,Japan,Tidal,R&B,189,114,Billie Eilish,Premium,Night,88.33,18.74
U1154,56,Australia,Tidal,Pop,284,97,BTS,Premium,Afternoon,19.05,27.92
U1155,46,Japan,Deezer,R&B,240,73,Bad Bunny,Free,Afternoon,81.16,50.25
U1156,48,USA,Apple Music,EDM,296,264,Bad Bunny,Free,Night,53.12,34.71
U1157,49,France,YouTube,Country,478,421,BTS,Premium,Morning,76.9,21.62
U1158,57,UK,Amazon Music,Pop,221,207,Drake,Free,Afternoon,12.45,30.4
U1159,57,Canada,YouTube,Rock,546,275,Taylor Swift,Free,Afternoon,79.18,10.88
U1160,46,USA,Apple Music,EDM,366,120,BTS,Premium,Night,46.75,16.76
U1161,52,South Korea,Tidal,Jazz,490,276,Taylor Swift,Premium,Afternoon,85.78,32.87
U1162,57,UK,Amazon Music,Hip-Hop,54,425,Post Malone,Free,Morning,62.08,53.78
U1163,32,Japan,Tidal,R&B,169,243,Billie Eilish,Premium,Afternoon,35.17,42.46
U1164,40,Canada,Tidal,Rock,220,274,The Weeknd,Free,Morning,59.41,79.7
U1165,30,India,Amazon Music,Classical,595,435,Taylor Swift,Free,Night,49.22,12.25
U1166,59,Australia,Apple Music,R&B,592,29,Adele,Free,Afternoon,59.08,63.86
U1167,33,Canada,Apple Music,Country,491,394,Bad Bunny,Premium,Night,53.65,37.48
U1168,21,Japan,Apple Music,Pop,345,37,Taylor Swift,Free,Night,80.94,7.91
U1169,60,Australia,Spotify,Country,37,226,BTS,Free,Afternoon,76.78,14.4
U1170,47,Brazil,Deezer,EDM,521,138,Adele,Premium,Afternoon,12.66,60.2
U1171,16,UK,Amazon Music,Hip-Hop,419,226,Drake,Free,Morning,52.13,28.05
U1172,36,Canada,YouTube,R&B,547,486,Taylor Swift,Free,Night,43.7,56.16
U1173,50,India,YouTube,Country,524,91,Billie Eilish,Premium,Afternoon,70.83,26.29
U1174,23,Brazil,Deezer,Pop,548,168,The Weeknd,Premium,Afternoon,51.18,40.7
U1175,48,Canada,Spotify,Pop,438,371,Bad Bunny,Free,Afternoon,36.77,26.79
U1176,33,India,Deezer,Reggae,518,9,BTS,Premium,Afternoon,30.64,20.99
U1177,31,Japan,Spotify,Country,160,463,Adele,Premium,Morning,72.16,9.46
U1178,53,India,Deezer,R&B,560,349,Billie Eilish,Free,Afternoon,63.16,20.97
U1179,38,USA,YouTube,R&B,390,27,Ed Sheeran,Free,Morning,84.24,70.64
U1180,33,France,YouTube,Country,418,256,Ed Sheeran,Free,Afternoon,28.06,29.54
U1181,38,South Korea,Apple Music,EDM,463,140,The Weeknd,Free,Night,19.91,7.45
U1182,30,Brazil,Apple Music,EDM,471,389,Bad Bunny,Free,Afternoon,48.96,73.08
U1183,16,South Korea,Amazon Music,Jazz,425,392,Drake,Premium,Morning,80.3,72.85
U1184,33,Germany,Tidal,Hip-Hop,590,496,Adele,Free,Night,63.39,41.82
U1185,17,India,Deezer,Hip-Hop,449,162,Adele,Premium,Night,22.56,19.7
U1186,49,Brazil,Deezer,Country,125,160,Dua Lipa,Premium,Afternoon,29.85,33.78
U1187,33,Germany,Deezer,R&B,407,200,Drake,Premium,Night,57.69,54.55
U1188,44,UK,Deezer,EDM,520,93,Billie Eilish,Premium,Morning,83.8,31.94
U1189,38,Australia,Amazon Music,Rock,151,212,Taylor Swift,Premium,Night,49.49,32.51
U1190,32,Brazil,Deezer,Classical,200,33,Dua Lipa,Free,Afternoon,34.72,70.23
U1191,53,France,YouTube,Metal,267,417,Bad Bunny,Premium,Night,36.69,13.0
U1192,40,Canada,Spotify,Rock,350,385,Bad Bunny,Free,Night,46.96,25.57
U1193,58,Australia,YouTube,Classical,317,354,The Weeknd,Premium,Afternoon,50.17,79.82
U1194,39,USA,Apple Music,Hip-Hop,549,460,The Weeknd,Free,Afternoon,51.19,43.57
U1195,49,USA,Amazon Music,Country,352,443,Ed Sheeran,Free,Afternoon,73.11,36.69
U1196,27,Canada,Apple Music,Reggae,126,353,Taylor Swift,Premium,Morning,36.75,11.59
U1197,32,India,Spotify,Reggae,119,31,Ed Sheeran,Premium,Afternoon,85.39,55.56
U1198,22,Germany,Spotify,EDM,62,1,Dua Lipa,Premium,Afternoon,80.08,68.51
U1199,19,Germany,YouTube,Hip-Hop,463,379,Adele,Free,Morning,77.31,60.39
U1200,35,Japan,Spotify,Jazz,100,181,Billie Eilish,Premium,Afternoon,40.26,8.26
U1201,13,Brazil,Spotify,Country,585,462,Billie Eilish,Premium,Afternoon,53.26,72.35
U1202,28,Australia,Amazon Music,Pop,10,30,Post Malone,Premium,Night,47.26,40.1
U1203,38,UK,Tidal,R&B,134,434,Billie Eilish,Premium,Morning,46.38,54.51
U1204,21,Australia,Amazon Music,Country,551,421,Ed Sheeran,Free,Night,49.2,42.1
U1205,25,UK,Tidal,Reggae,369,477,Drake,Premium,Morning,13.66,10.18
U1206,42,Australia,Deezer,Pop,372,267,Drake,Free,Night,31.06,59.18
U1207,57,Brazil,Apple Music,R&B,376,334,Dua Lipa,Premium,Night,84.49,76.49
U1208,40,India,Tidal,R&B,450,309,BTS,Free,Night,73.78,32.67
U1209,51,France,Apple Music,Metal,116,150,The Weeknd,Premium,Night,10.86,38.18
U1210,22,South Korea,Amazon Music,Hip-Hop,372,168,Billie Eilish,Free,Afternoon,24.79,63.7
U1211,58,USA,Amazon Music,EDM,180,258,Adele,Premium,Night,27.13,45.45
U1212,45,France,Apple Music,Reggae,580,127,Adele,Premium,Morning,55.04,43.66
U1213,43,Canada,Tidal,Hip-Hop,435,314,Drake,Free,Night,22.61,32.05
U1214,17,South Korea,Tidal,Jazz,250,111,Billie Eilish,Premium,Night,80.95,8.15
U1215,36,Canada,Tidal,Metal,226,347,Bad Bunny,Free,Morning,17.22,34.96
U1216,14,UK,Amazon Music,Country,51,424,Bad Bunny,Free,Morning,59.28,66.16
U1217,53,Japan,Spotify,R&B,406,169,Taylor Swift,Free,Afternoon,13.49,33.18
U1218,21,Canada,Tidal,Metal,317,268,The Weeknd,Premium,Afternoon,66.49,11.87
U1219,33,South Korea,Tidal,EDM,459,262,Taylor Swift,Premium,Morning,17.41,55.83
U1220,54,Australia,Deezer,Country,440,448,Ed Sheeran,Premium,Afternoon,55.32,9.42
U1221,18,UK,Deezer,Hip-Hop,570,246,Taylor Swift,Premium,Afternoon,69.77,54.47
U1222,36,Germany,Tidal,Rock,373,246,Ed Sheeran,Free,Night,52.67,53.76
U1223,25,Canada,Spotify,EDM,183,179,Billie Eilish,Premium,Night,28.62,35.2
U1224,15,USA,YouTube,Hip-Hop,139,239,Dua Lipa,Premium,Afternoon,62.11,77.73
U1225,21,Germany,Deezer,R&B,530,270,Billie Eilish,Free,Afternoon,32.4,79.59
U1226,39,South Korea,Amazon Music,EDM,272,277,The Weeknd,Premium,Morning,39.7,48.24
U1227,18,South Korea,Amazon Music,Metal,345,479,Drake,Premium,Afternoon,21.71,45.96
U1228,36,Japan,Spotify,Country,440,271,BTS,Free,Afternoon,30.55,67.5
U1229,24,Germany,Tidal,Reggae,440,294,Bad Bunny,Premium,Night,20.92,32.38
U1230,51,Japan,YouTube,Reggae,385,414,Taylor Swift,Free,Morning,13.41,55.93
U1231,26,France,Apple Music,Classical,396,217,Dua Lipa,Premium,Morning,39.81,15.41
U1232,13,France,Tidal,Jazz,224,381,Taylor Swift,Free,Afternoon,60.46,63.68
U1233,41,Germany,YouTube,Jazz,223,15,Drake,Premium,Night,58.68,13.88
U1234,21,Japan,Spotify,Pop,46,165,Adele,Premium,Afternoon,58.75,66.98
U1235,59,Canada,Tidal,Reggae,39,337,Taylor Swift,Free,Afternoon,79.14,40.26
U1236,55,Australia,Deezer,EDM,296,272,Post Malone,Premium,Afternoon,32.11,9.22
U1237,52,India,Spotify,Classical,139,228,BTS,Free,Night,11.98,65.55
U1238,48,USA,Spotify,Reggae,163,378,Post Malone,Premium,Morning,88.9,73.29
U1239,31,France,Spotify,Jazz,590,195,Post Malone,Free,Night,61.78,20.37
U1240,49,Germany,Amazon Music,Metal,526,71,The Weeknd,Premium,Afternoon,40.53,78.09
U1241,41,Brazil,Amazon Music,Pop,99,92,Adele,Premium,Morning,74.0,17.92
U1242,38,UK,Spotify,Hip-Hop,279,454,Post Malone,Premium,Afternoon,10.35,36.1
U1243,42,Germany,YouTube,Country,335,29,Bad Bunny,Free,Night,63.28,62.01
U1244,40,Australia,Spotify,R&B,118,212,The Weeknd,Premium,Morning,53.78,76.46
U1245,29,Brazil,YouTube,Metal,519,396,Drake,Free,Night,43.41,16.76
U1246,42,Brazil,YouTube,Rock,555,251,The Weeknd,Premium,Afternoon,38.83,14.55
U1247,18,USA,YouTube,Reggae,361,45,Adele,Free,Morning,52.26,25.91
U1248,34,UK,Spotify,Jazz,194,339,BTS,Free,Night,89.01,23.28
U1249,37,USA,Deezer,Metal,143,379,Drake,Free,Morning,55.02,59.23
U1250,16,South Korea,Apple Music,Country,229,380,Post Malone,Free,Night,68.64,72.16
U1251,42,Brazil,YouTube,Pop,35,115,Dua Lipa,Premium,Night,21.84,70.43
U1252,21,India,YouTube,Pop,557,232,Adele,Free,Night,79.16,41.87
U1253,42,Canada,Spotify,Reggae,465,154,Drake,Premium,Morning,11.36,63.59
U1254,16,South Korea,Deezer,EDM,233,295,Bad Bunny,Free,Morning,89.97,40.9
U1255,42,Germany,Deezer,Reggae,563,59,BTS,Premium,Morning,61.57,9.87
U1256,40,South Korea,Tidal,EDM,224,101,Post Malone,Free,Morning,60.44,43.18
U1257,24,USA,Spotify,EDM,223,46,The Weeknd,Premium,Morning,41.12,48.25
U1258,35,South Korea,Spotify,EDM,36,125,Post Malone,Free,Morning,69.27,28.79
U1259,18,USA,Amazon Music,Reggae,493,417,Bad Bunny,Premium,Afternoon,72.34,6.65
U1260,28,Germany,Amazon Music,R&B,588,162,Ed Sheeran,Free,Morning,32.53,63.37
U1261,41,Australia,Deezer,EDM,406,469,Taylor Swift,Free,Morning,67.94,41.21
U1262,44,South Korea,Tidal,Pop,597,5,Adele,Free,Afternoon,76.3,5.1
U1263,21,India,Spotify,Metal,54,268,Billie Eilish,Free,Night,51.99,65.41
U1264,22,Germany,YouTube,EDM,574,112,The Weeknd,Free,Afternoon,36.43,43.05
U1265,43,France,Apple Music,EDM,236,263,Dua Lipa,Premium,Morning,81.29,67.13
U1266,36,UK,Apple Music,Rock,279,99,Adele,Premium,Night,83.51,6.4
U1267,40,Australia,Apple Music,Rock,481,320,The Weeknd,Premium,Afternoon,69.67,71.07
U1268,25,USA,Apple Music,Jazz,219,203,Ed Sheeran,Premium,Morning,86.17,69.53
U1269,59,Brazil,Apple Music,Pop,600,179,Post Malone,Premium,Morning,20.79,50.24
U1270,48,Australia,Apple Music,EDM,77,123,Post Malone,Free,Afternoon,78.6,53.02
U1271,24,USA,Amazon Music,Jazz,255,188,Bad Bunny,Free,Afternoon,30.7,58.33
U1272,52,France,YouTube,EDM,490,234,The Weeknd,Free,Night,27.24,11.78
U1273,49,Brazil,Deezer,Pop,548,48,Post Malone,Free,Morning,87.59,44.4
U1274,49,Japan,Amazon Music,Country,233,481,Taylor Swift,Free,Afternoon,83.99,57.83
U1275,37,UK,Deezer,Classical,299,112,Adele,Premium,Night,86.55,13.13
U1276,33,Canada,Tidal,R&B,224,259,Billie Eilish,Premium,Night,61.34,11.73
U1277,53,USA,Tidal,Reggae,514,377,Taylor Swift,Free,Afternoon,83.19,58.45
U1278,22,Canada,YouTube,Reggae,239,349,Post Malone,Premium,Night,35.3,17.04
U1279,60,South Korea,Apple Music,EDM,328,99,BTS,Free,Night,29.73,67.42
U1280,35,Canada,YouTube,Metal,202,435,Bad Bunny,Free,Night,60.49,11.22
U1281,41,Australia,Tidal,Pop,284,148,The Weeknd,Free,Night,58.35,76.67
U1282,56,India,Deezer,Hip-Hop,580,228,Drake,Free,Afternoon,83.14,6.03
U1283,55,USA,YouTube,Pop,32,155,The Weeknd,Premium,Afternoon,42.79,36.96
U1284,32,South Korea,Deezer,Rock,409,333,BTS,Premium,Afternoon,11.84,22.71
U1285,39,USA,Apple Music,Country,342,437,BTS,Premium,Morning,70.05,64.62
U1286,50,Germany,Spotify,Hip-Hop,349,480,The Weeknd,Free,Night,56.82,75.33
U1287,59,South Korea,Amazon Music,Reggae,311,428,BTS,Premium,Night,74.86,20.09
U1288,52,Australia,Tidal,Rock,281,103,Dua Lipa,Premium,Morning,78.26,25.58
U1289,32,USA,Tidal,Metal,320,107,Ed Sheeran,Premium,Morning,72.64,18.39
U1290,36,France,YouTube,Metal,21,108,Adele,Premium,Afternoon,33.13,57.81
U1291,37,Brazil,Spotify,R&B,407,267,Dua Lipa,Premium,Afternoon,78.19,62.43
U1292,13,South Korea,Deezer,Classical,446,256,Ed Sheeran,Free,Morning,38.68,79.12
U1293,27,South Korea,Tidal,Pop,369,348,Bad Bunny,Free,Morning,88.99,7.06
U1294,58,France,Tidal,Reggae,591,102,Billie Eilish,Premium,Afternoon,24.13,15.49
U1295,21,France,Tidal,Hip-Hop,389,479,Bad Bunny,Free,Night,52.21,52.88
U1296,58,Japan,Tidal,EDM,364,464,Billie Eilish,Premium,Morning,48.31,77.46
U1297,32,UK,Deezer,EDM,41,349,The Weeknd,Free,Night,12.44,7.47
